"","IdLandkreis","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"196",7318,"2022-05-20",7,16.2857142857143
"197",7319,"2022-05-20",32,73.1428571428571
"198",7320,"2022-05-20",29,25.1428571428571
"199",7331,"2022-05-20",75,111.142857142857
"200",7332,"2022-05-20",43,81.5714285714286
"201",7333,"2022-05-20",2,33.7142857142857
"202",7334,"2022-05-20",42,70.2857142857143
"203",7335,"2022-05-20",39,104.285714285714
"204",7336,"2022-05-20",22,44
"205",7337,"2022-05-20",46,98.4285714285714
"206",7338,"2022-05-20",16,53.5714285714286
"207",7339,"2022-05-20",118,138.285714285714
"208",7340,"2022-05-20",73,77.5714285714286
"209",8111,"2022-05-20",251,743.428571428571
"210",8115,"2022-05-20",68,189.571428571429
"211",8116,"2022-05-20",141,207.285714285714
"212",8117,"2022-05-20",18,72.8571428571429
"213",8118,"2022-05-20",102,193.428571428571
"214",8119,"2022-05-20",242,185
"215",8121,"2022-05-20",28,52.7142857142857
"216",8125,"2022-05-20",147,154.428571428571
"217",8126,"2022-05-20",31,51.8571428571429
"218",8127,"2022-05-20",93,92.4285714285714
"219",8128,"2022-05-20",76,69.7142857142857
"220",8135,"2022-05-20",11,49.8571428571429
"221",8136,"2022-05-20",105,197
"222",8211,"2022-05-20",16,28
"223",8212,"2022-05-20",131,166.714285714286
"224",8215,"2022-05-20",189,245.571428571429
"225",8216,"2022-05-20",86,145
"226",8221,"2022-05-20",116,76.2857142857143
"227",8222,"2022-05-20",95,142.714285714286
"228",8225,"2022-05-20",53,114.571428571429
"229",8226,"2022-05-20",234,280
"230",8231,"2022-05-20",32,60.5714285714286
"231",8235,"2022-05-20",44,99.4285714285714
"232",8236,"2022-05-20",81,122.714285714286
"233",8237,"2022-05-20",48,77
"234",8311,"2022-05-20",30,106.857142857143
"235",8315,"2022-05-20",25,112.428571428571
"236",8316,"2022-05-20",45,79.7142857142857
"237",8317,"2022-05-20",23,155.428571428571
"238",8325,"2022-05-20",15,35.5714285714286
"239",8326,"2022-05-20",38,112.428571428571
"240",8327,"2022-05-20",56,61.4285714285714
"241",8335,"2022-05-20",131,120
"242",8336,"2022-05-20",56,130.142857142857
"243",8415,"2022-05-20",26,105.714285714286
"244",8416,"2022-05-20",77,114.285714285714
"245",8417,"2022-05-20",92,133.857142857143
"246",8421,"2022-05-20",32,43.2857142857143
"247",8425,"2022-05-20",42,67.5714285714286
"248",8426,"2022-05-20",61,75.2857142857143
"249",8435,"2022-05-20",64,96.2857142857143
"250",8436,"2022-05-20",59,155.428571428571
"251",8437,"2022-05-20",59,61.1428571428571
