"","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"248","2021-09-25",6350,7678
"249","2021-09-24",8407,7776.42857142857
"250","2021-09-23",9083,7846
"251","2021-09-22",10458,8015.42857142857
"252","2021-09-21",11260,8267.42857142857
"253","2021-09-20",5409,8572.28571428571
"254","2021-09-19",2779,8783
"255","2021-09-18",7039,8854.71428571429
"256","2021-09-17",8894,9070.14285714286
"257","2021-09-16",10269,9392.71428571429
"258","2021-09-15",12222,9696
"259","2021-09-14",13394,9972
"260","2021-09-13",6884,10219
"261","2021-09-12",3281,10238
"262","2021-09-11",8547,10347.7142857143
"263","2021-09-10",11152,10482.1428571429
"264","2021-09-09",12392,10614
"265","2021-09-08",14154,10662.2857142857
"266","2021-09-07",15123,10746
"267","2021-09-06",7017,10668.2857142857
"268","2021-09-05",4049,10678.5714285714
"269","2021-09-04",9488,10634.8571428571
"270","2021-09-03",12075,10480.4285714286
"271","2021-09-02",12730,10242.5714285714
"272","2021-09-01",14740,10084.5714285714
"273","2021-08-31",14579,9796.28571428571
"274","2021-08-30",7089,9556.71428571429
"275","2021-08-29",3743,9484.57142857143
"276","2021-08-28",8407,9392.57142857143
"277","2021-08-27",10410,9166.42857142857
"278","2021-08-26",11624,8941.28571428571
"279","2021-08-25",12722,8522
"280","2021-08-24",12902,7956.14285714286
"281","2021-08-23",6584,7386.57142857143
"282","2021-08-22",3099,7092.71428571429
"283","2021-08-21",6824,6946
"284","2021-08-20",8834,6633.57142857143
"285","2021-08-19",8689,6198.14285714286
"286","2021-08-18",8761,5734.14285714286
"287","2021-08-17",8915,5289.28571428571
"288","2021-08-16",4527,4810.14285714286
"289","2021-08-15",2072,4581.28571428571
"290","2021-08-14",4637,4448.28571428571
"291","2021-08-13",5786,4184.85714285714
"292","2021-08-12",5441,3863.28571428571
"293","2021-08-11",5647,3590.85714285714
"294","2021-08-10",5561,3290.57142857143
"295","2021-08-09",2925,3032.71428571429
"296","2021-08-08",1141,2918
"297","2021-08-07",2793,2866.85714285714
"298","2021-08-06",3535,2748.42857142857
"299","2021-08-05",3534,2604.85714285714
"300","2021-08-04",3545,2476.28571428571
"301","2021-08-03",3756,2376.28571428571
"302","2021-08-02",2122,2282.42857142857
"303","2021-08-01",783,2216.85714285714
"304","2021-07-31",1964,2196.28571428571
"305","2021-07-30",2530,2143.42857142857
"306","2021-07-29",2634,2084.57142857143
"307","2021-07-28",2845,2026.28571428571
"308","2021-07-27",3099,1948
"309","2021-07-26",1663,1839.28571428571
"310","2021-07-25",639,1805.85714285714
"311","2021-07-24",1594,1785.71428571429
"312","2021-07-23",2118,1740.85714285714
"313","2021-07-22",2226,1669.57142857143
"314","2021-07-21",2297,1568.57142857143
"315","2021-07-20",2338,1472.85714285714
"316","2021-07-19",1429,1390.85714285714
"317","2021-07-18",498,1301
"318","2021-07-17",1280,1274.28571428571
"319","2021-07-16",1619,1204.14285714286
"320","2021-07-15",1519,1108.28571428571
"321","2021-07-14",1627,1027.85714285714
"322","2021-07-13",1764,932.714285714286
"323","2021-07-12",800,832.571428571429
"324","2021-07-11",311,797.714285714286
"325","2021-07-10",789,783.142857142857
"326","2021-07-09",948,743.142857142857
"327","2021-07-08",956,703.285714285714
"328","2021-07-07",961,668.142857142857
"329","2021-07-06",1063,654
"330","2021-07-05",556,630.428571428571
"331","2021-07-04",209,625.857142857143
"332","2021-07-03",509,628
"333","2021-07-02",669,624.571428571429
"334","2021-07-01",710,634.428571428571
"335","2021-06-30",862,651.285714285714
"336","2021-06-29",898,657.428571428571
"337","2021-06-28",524,681
"338","2021-06-27",224,692.571428571429
"339","2021-06-26",485,699.857142857143
"340","2021-06-25",738,736.142857142857
"341","2021-06-24",828,777.714285714286
"342","2021-06-23",905,824.571428571429
"343","2021-06-22",1063,901.857142857143
"344","2021-06-21",605,993
"345","2021-06-20",275,1039.71428571429
"346","2021-06-19",739,1073.71428571429
"347","2021-06-18",1029,1155.28571428571
"348","2021-06-17",1156,1271.42857142857
"349","2021-06-16",1446,1432.28571428571
"350","2021-06-15",1701,1635.57142857143
"351","2021-06-14",932,1897.71428571429
"352","2021-06-13",513,2009.85714285714
"353","2021-06-12",1310,2098.14285714286
"354","2021-06-11",1842,2240.42857142857
"355","2021-06-10",2282,2302.42857142857
"356","2021-06-09",2869,2396
"357","2021-06-08",3536,2627.42857142857
"358","2021-06-07",1717,2852.28571428571
"359","2021-06-06",1131,2955.85714285714
"360","2021-06-05",2306,3023.85714285714
"361","2021-06-04",2276,3221.42857142857
"362","2021-06-03",2937,3633.14285714286
"363","2021-06-02",4489,4188.14285714286
"364","2021-06-01",5110,4568.71428571429
"365","2021-05-31",2442,4363.28571428571
"366","2021-05-30",1607,4272.14285714286
"367","2021-05-29",3689,4328.42857142857
"368","2021-05-28",5158,4633.28571428571
"369","2021-05-27",6822,4979.28571428571
"370","2021-05-26",7153,5209.42857142857
"371","2021-05-25",3672,5803.42857142857
"372","2021-05-24",1804,7039.14285714286
"373","2021-05-23",2001,7531
"374","2021-05-22",5823,7856
"375","2021-05-21",7580,8252.42857142857
"376","2021-05-20",8433,8261.14285714286
"377","2021-05-19",11311,8437.85714285714
"378","2021-05-18",12322,9177.14285714286
"379","2021-05-17",5247,9810.57142857143
"380","2021-05-16",4276,10117.1428571429
"381","2021-05-15",8598,10265.8571428571
"382","2021-05-14",7641,10758
"383","2021-05-13",9670,11877.5714285714
"384","2021-05-12",16486,12949.2857142857
"385","2021-05-11",16756,13573.4285714286
"386","2021-05-10",7393,14177.5714285714
"387","2021-05-09",5317,14425.5714285714
"388","2021-05-08",12043,14616.8571428571
"389","2021-05-07",15478,15049.1428571429
"390","2021-05-06",17172,15575.2857142857
"391","2021-05-05",20855,16185.2857142857
"392","2021-05-04",20985,16779.4285714286
"393","2021-05-03",9129,17392.1428571429
"394","2021-05-02",6656,17832.8571428571
"395","2021-05-01",15069,18120
"396","2021-04-30",19161,18542.7142857143
"397","2021-04-29",21442,19087.8571428571
"398","2021-04-28",25014,19663.4285714286
"399","2021-04-27",25274,20287.2857142857
"400","2021-04-26",12214,20674.2857142857
"401","2021-04-25",8666,20687.1428571429
"402","2021-04-24",18028,20707.8571428571
"403","2021-04-23",22977,20660
"404","2021-04-22",25471,20676.1428571429
"405","2021-04-21",29381,20620.1428571429
"406","2021-04-20",27983,20502.2857142857
