"","date","name","code","Daily new hospital admissions","Daily people in MV beds","Daily people in hospital with coronavirus","Seven-day average hospital admissions","Seven-day average MV beds","Seven-day average hospital cases"
"286","2021-04-08","England","E92000001",167,377,2382,177.142857142857,411.857142857143,2609.85714285714
"287","2021-04-07","England","E92000001",189,393,2486,179,425.142857142857,2687.85714285714
"288","2021-04-06","England","E92000001",183,406,2588,184.142857142857,440.571428571429,2773.28571428571
"289","2021-04-05","England","E92000001",188,416,2680,189,456.571428571429,2872.57142857143
"290","2021-04-04","England","E92000001",156,422,2672,191.571428571429,473.142857142857,2984.85714285714
"291","2021-04-03","England","E92000001",179,433,2677,200.857142857143,488.857142857143,3094.28571428571
"292","2021-04-02","England","E92000001",178,436,2784,206.285714285714,503.714285714286,3237
"293","2021-04-01","England","E92000001",180,470,2928,215.857142857143,521.285714285714,3369.57142857143
"294","2021-03-31","England","E92000001",225,501,3084,231.285714285714,535,3488.85714285714
"295","2021-03-30","England","E92000001",217,518,3283,238.714285714286,551,3620.42857142857
"296","2021-03-29","England","E92000001",206,532,3466,249.857142857143,569.428571428571,3757.85714285714
"297","2021-03-28","England","E92000001",221,532,3438,262.428571428571,590,3905.71428571429
"298","2021-03-27","England","E92000001",217,537,3676,270.714285714286,612.857142857143,4056.28571428571
"299","2021-03-26","England","E92000001",245,559,3712,280.714285714286,637.571428571429,4186.71428571429
"300","2021-03-25","England","E92000001",288,566,3763,286.142857142857,664.714285714286,4348
"301","2021-03-24","England","E92000001",277,613,4005,295.142857142857,697.714285714286,4536.57142857143
"302","2021-03-23","England","E92000001",295,647,4245,304.571428571429,731,4735.42857142857
"303","2021-03-22","England","E92000001",294,676,4501,314.428571428571,764.571428571429,4938.14285714286
"304","2021-03-21","England","E92000001",279,692,4492,334,800.857142857143,5148.85714285714
"305","2021-03-20","England","E92000001",287,710,4589,345.142857142857,839.571428571429,5369.85714285714
"306","2021-03-19","England","E92000001",283,749,4841,359.142857142857,881,5581.71428571429
"307","2021-03-18","England","E92000001",351,797,5083,373.857142857143,920.142857142857,5803.14285714286
"308","2021-03-17","England","E92000001",343,846,5397,387.857142857143,963.571428571429,6032.28571428571
"309","2021-03-16","England","E92000001",364,882,5664,409.428571428571,1005.14285714286,6257.71428571429
"310","2021-03-15","England","E92000001",431,930,5976,426.428571428571,1048.71428571429,6513
"311","2021-03-14","England","E92000001",357,963,6039,436.428571428571,1092.42857142857,6780.28571428571
"312","2021-03-13","England","E92000001",385,1000,6072,451.285714285714,1136.71428571429,7033.57142857143
"313","2021-03-12","England","E92000001",386,1023,6391,471.714285714286,1183.28571428571,7312
"314","2021-03-11","England","E92000001",449,1101,6687,486.142857142857,1239.57142857143,7626.71428571429
"315","2021-03-10","England","E92000001",494,1137,6975,507.142857142857,1290,7970.28571428571
"316","2021-03-09","England","E92000001",483,1187,7451,523.285714285714,1342.85714285714,8344.42857142857
"317","2021-03-08","England","E92000001",501,1236,7847,551.857142857143,1395.57142857143,8725.85714285714
"318","2021-03-07","England","E92000001",461,1273,7812,580.857142857143,1455.85714285714,9142.71428571429
"319","2021-03-06","England","E92000001",528,1326,8021,609.571428571429,1506.85714285714,9550
"320","2021-03-05","England","E92000001",487,1417,8594,623.285714285714,1567,9988.42857142857
"321","2021-03-04","England","E92000001",596,1454,9092,656.285714285714,1622.85714285714,10443.7142857143
"322","2021-03-03","England","E92000001",607,1507,9594,690,1681.71428571429,10923.2857142857
"323","2021-03-02","England","E92000001",683,1556,10121,728.142857142857,1742.28571428571,11410.8571428571
"324","2021-03-01","England","E92000001",704,1658,10765,770,1799.42857142857,11895.1428571429
"325","2021-02-28","England","E92000001",662,1630,10663,809.428571428571,1858.57142857143,12376.8571428571
"326","2021-02-27","England","E92000001",624,1747,11090,859,1928.85714285714,12873.8571428571
"327","2021-02-26","England","E92000001",718,1808,11781,899,1985.28571428571,13334.7142857143
"328","2021-02-25","England","E92000001",832,1866,12449,949,2048.57142857143,13797.1428571429
"329","2021-02-24","England","E92000001",874,1931,13007,994.285714285714,2112.85714285714,14252
"330","2021-02-23","England","E92000001",976,1956,13511,1045.57142857143,2178.85714285714,14745
"331","2021-02-22","England","E92000001",980,2072,14137,1093.42857142857,2254.28571428571,15256.7142857143
"332","2021-02-21","England","E92000001",1009,2122,14142,1142.28571428571,2326.42857142857,15770
